,제목,예배,설교자,본문,날짜,교회
210,"하루 세 번 기도, 세 번 감사",주일예배,김삼환 목사 ,단6:10 ,2013-10-20,명성교회
211,풍성한 은혜,주일예배,김삼환 목사 ,엡 3:14-21 ,2013-10-06,명성교회
212,우리는 성령으로 거듭난 사람들입니다,주일예배,김삼환 목사 ,요3:1-15 ,2013-09-22,명성교회
213,꿈을 꾸는 꿈의 사람이 됩시다,주일예배,김삼환 목사 ,"창37:5-11, 18-19 ",2013-09-08,명성교회
214,믿음의 선조들은 쉬운 길로 가지 않는다,주일예배,김삼환 목사 ,창 13:8-18 ,2013-08-25,명성교회
215,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배, , ,2013-08-11,명성교회
216,"믿음, 그것은 바로 야구입니다",주일예배,김삼환 목사 ,고전 9:23-27 ,2013-07-28,명성교회
217,나의 나 됨의 은혜,주일예배,김삼환 목사 ,고전 15:8-11 ,2013-07-14,명성교회
218,교회가 사명을 다할 때,주일예배,김삼환 목사 ,창 12:1-3 ,2013-06-30,명성교회
219,성전에서 은혜와 축복을,주일예배,김삼환 목사 ,왕상 8:27-36 ,2013-06-16,명성교회
220,주 예수 그리스도의 부요함이여,주일예배,김삼환 목사 ,롬 10:9-12 ,2013-06-02,명성교회
221,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2013-05-19,명성교회
222,주님은 나의 희망,주일예배,김삼환 목사 ,눅7:36-40 ,2013-05-05,명성교회
223,우리 모두에게 성령을,주일예배,김삼환 목사 ,행 2:36-42 ,2013-04-21,명성교회
224,금주에는 김삼환 목사님의 설교가 없습니다.,주일예배,김삼환 목사 , ,2013-04-07,명성교회
225,십자가 아래의 사람들,주일예배,김삼환 목사 ,갈 6:14 ,2013-03-24,명성교회
226,성도의 기쁨,주일예배,김삼환 목사 ,대상 29:10-17 ,2013-03-10,명성교회
227,기도하면 다 해결됩니다,주일예배,김삼환 목사 ,에 4:10 - 17 ,2013-02-24,명성교회
228,항상 기도하는 사람들,주일예배,김삼환 목사 ,눅 18:1-8 ,2013-02-10,명성교회
229,좌우로 치우치지 말라,주일예배,김삼환 목사 ,수 1:6-9 ,2013-01-27,명성교회
230,이렇게 세상을 살아가십시오,주일예배,김삼환 목사 ,"롬 12:1-2, 10-21 ",2013-01-13,명성교회
