,제목,예배,설교자,본문,날짜
936,인내의 적극적 사랑,주일예배,김상복 목사,고린도전서 13:4~7,2007-05-20
937,"가르치라, 지키라",주일예배,김상복 목사,마태복음 28:18 ~ 20,2007-05-13
938,성령충만한 가정,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2007-05-06
939,흩어져 전하라,주일예배,김상복 목사,사도행전 8:1 ~ 8,2007-04-29
940,치유의 길,주일예배,김상복 목사,열왕기하 5:9 ~ 14,2007-05-27
941,인내의 적극적 사랑,주일예배,김상복 목사,고린도전서 13:4~7,2007-05-20
942,"가르치라, 지키라",주일예배,김상복 목사,마태복음 28:18 ~ 20,2007-05-13
943,성령충만한 가정,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2007-05-06
944,흩어져 전하라,주일예배,김상복 목사,사도행전 8:1 ~ 8,2007-04-29
945,분노한 살인자,주일예배,김상복 목사,창세기 4:1 ~ 10,2007-04-22
946,수고가 헛되지 않다,주일예배,김상복 목사,고린도전서 15:49 ~ 58,2007-04-15
947,살아나셨느니라,주일예배,김상복 목사,마태복음 28:1 ~ 10,2007-04-08
948,구원의 왕이 오신다,주일예배,김상복 목사,마태복음 21:1 ~ 11,2007-04-01
949,기적과 구원,주일예배,김상복 목사,사도행전 9:32 ~ 35,2007-03-25
950,격려의 사역,주일예배,김상복 목사,사도행전 9:26 ~ 31,2007-03-18
951,예수의 증인 사울,주일예배,김상복 목사,사도행전 9:20 ~ 25,2007-03-11
952,위험한 인물,주일예배,김상복 목사,누가복음 4:16 ~ 20,2007-03-04
953,눈을 들어 세계를 보라,주일예배,김상복 목사,요한복음 4:31~38,2007-02-25
954,꿈같은 회복을 !,주일예배,김광건 목사,시편 126:1~6,2007-02-18
955,삶을 극대화시켜라,주일예배,황성주 목사,누가복음 16:1~13,2007-02-11
956,서로 받으라,주일예배,홍성현 목사,로마서 15:1 ~ 7,2007-02-04
957,세 가지 갈망,주일예배,김상복 목사,시편 27:1 ~ 14,2007-01-28
958,그러므로,주일예배,김상복 목사,로마서 12:1 ~ 2,2007-01-21
959,부흥과 변화를 주소서,주일예배,김상복 목사,로마서 12:1 ~ 21,2007-01-14
960,변혁으로의 부르심(Calling to Transformation),주일예배,루이스 부시 목사,이사야 11:1 ~ 10,2007-01-07
961,마지막 날에,주일예배,김상복 목사,요한복음 7:37 ~ 39,2006-12-31
962,죄에서 구원 하신다,주일예배,김상복 목사,마태복음 1:18 ~ 21,2006-12-24
963,나의 택한 그릇,주일예배,김상복 목사,사도행전 9 : 10 ~ 19,2006-12-17
964,세계로 출발하는 예수님의 제자들,주일예배,이동휘 목사,마태복음 28:18~20,2006-12-10
965,찾아오신다,주일예배,김상복 목사,사도행전 9:1 ~ 9,2006-12-03
966,만국의 보배,주일예배,김상복 목사,학개 2:1 ~ 9,2006-11-26
967,이해되십니까 ?,주일예배,김상복 목사,사도행전 8:26 ~ 40,2006-11-19
968,가르치라,주일예배,김상복 목사,마태복음 28:18~20,2006-11-12
969,고난의 열매,주일예배,김상복 목사,마태복음 5:43~48,2006-11-05
970,생명이란,주일예배,김장환 목사,요한일서 5:10 ~ 13,2006-10-29
971,전도는 구원의 능력,주일예배,김상복 목사,고린도전서 1:18~25,2006-10-22
972,두 길,주일예배,김상복 목사,누가복음 16:19 ~ 31,2006-10-15
973,일어나 걸으라,주일예배,김상복 목사,사도행전 3:1 ~ 10,2006-10-08
974,사랑의 실천,주일예배,김상복 목사,야고보서 2:14 ~ 26,2006-09-24
975,생명이란,주일예배,김장환 목사,요한일서 5:10 ~ 13,2006-10-29
976,전도는 구원의 능력,주일예배,김상복 목사,고린도전서 1:18~25,2006-10-22
977,두 길,주일예배,김상복 목사,누가복음 16:19 ~ 31,2006-10-15
978,일어나 걸으라,주일예배,김상복 목사,사도행전 3:1 ~ 10,2006-10-08
979,사랑의 실천,주일예배,김상복 목사,야고보서 2:14 ~ 26,2006-09-24
980,먹는자는 영원히 살리라,주일예배,김상복 목사,요한복음 6:47 ~ 59,2006-09-17
981,회개하고 세례를 받으라,주일예배,김상복 목사,사도행전 2:37~42,2006-09-10
982,하나님의 평화,주일예배,김상복 목사,빌립보서 4:4 ~ 9,2006-09-03
983,파워 헝그리 마술사,주일예배,김상복 목사,사도행전 8:14 ~ 25,2006-08-27
984,성실한 청지기,주일예배,김상복 목사,누가복음 12:36 ~ 48,2006-08-20
985,우리를 불쌍히 여기소서,주일예배,김상복 목사,시편 103:1 ~ 22,2006-08-13
986,놀라운 신앙,주일예배,김상복 목사,사도행전 8:9~13,2006-08-06
987,내게 부르짖으라,주일예배,김상복 목사,예레미아 33:1 ~ 9,2006-07-30
988,보다 큰 하나님의 계획,주일예배,신표근 목사,욥기 42:1 ~ 6,2006-07-23
989,신앙이란,주일예배,김장환 목사,마태복음 21:1 ~ 11,2006-07-16
990,인생을 풀어가는 두 가지 열쇠,주일예배,신현규 목사,창세기 50:15 ~ 21,2006-07-09
991,핍박 속의 기쁨,주일예배,김상복 목사,사도행전 8:1 ~ 8,2006-07-02
992,죽도록 충성하라,주일예배,김상복 목사,요한게시록 2:8 ~ 11,2006-06-25
993,끊어진 보복의 사슬,주일예배,김상복 목사,사도행전 7:54 ~ 60,2006-06-18
994,그 영광을 열방중에 선포하라,주일예배,김상복 목사,역대상 16:23 ~ 31,2006-06-11
995,성령의 능력으로,주일예배,김상복 목사,사도행전 1:4 ~ 8,2006-06-04
996,하늘나라의 시민,주일예배,김상복 목사,에베소서 2:1 ~ 22,2006-05-28
997,복음은 구원의 능력,주일예배,김상복 목사,로마서 1:8 ~ 17,2006-05-21
998,위대한 스승,주일예배,김상복 목사,신명기 6:4 ~ 9,2006-05-14
999,가족의 역할,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2006-05-07
1000,사람을 얻어야,주일예배,김상복 목사,고린도전서 9:19~27,2006-04-30
1001,지금은 보인다.,주일예배,김상복 목사,요한복음 9:1 ~ 11,2006-04-23
1002,부활신앙,주일예배,신세원 목사,고린도전서 15:12 ~ 19,2006-04-16
1003,벗을 찾아가,주일예배,김상복 목사,요한복음 1:35 ~ 51,2006-04-09
1004,너도 이와 같이 하라,주일예배,박진탁 목사,누가복음 10:30 ~ 37,2006-04-02
1005,금식의 원리 II,주일예배,김상복 목사,이사야 58:1 ~ 12,2006-03-26
1006,금식의 원리,주일예배,김상복 목사,마태복음 6:16 ~ 18,2006-03-19
1007,금식과 기도,주일예배,김상복 목사,마가복음 9:14 ~ 29,2006-03-12
1008,다시 살려 주옵소서,주일예배,김상복 목사,시편 85:1 ~ 13,2006-03-05
1009,사순절 금식기도,주일예배,김상복 목사,시편 51:1 ~ 19,2006-02-26
1010,품는 사랑,주일예배,김상복 목사,고린도전서 13:4 ~ 7,2006-02-19
1011,다시 오시리라,주일예배,최바울 목사,사도행전 1:8 ~ 11,2006-02-12
1012,은총과 지혜의 길,주일예배,김상복 목사,사도행전 7:9 ~ 16,2006-02-05
1013,건강한 가정,주일예배,김상복 목사,골로새서 3:12 ~ 21,2006-01-29
1014,생육하고 번성하라,주일예배,김상복 목사,창세기 1:24 ~ 31,2006-01-22
1015,하나님과 인터뷰,주일예배,김상복 목사,시편 119:57~72,2006-01-15
1016,상을 위해 달리자,주일예배,김상복 목사,빌립보서 3:13 ~ 16,2006-01-08
1017,이 산지를 내게 주소서,주일예배,김상복 목사,여호수아 14:6 ~ 15,2006-01-01
1018,평화의 왕(王)이여 !,주일예배,김상복 목사,누가복음 2:1 ~ 20,2005-12-25
1019,성탄에 쓰신 사람,주일예배,김상복 목사,마태복음 1:18 ~ 25,2005-12-18
1020,선물을 드리라,주일예배,김상복 목사,마태복음 2:1 ~ 12,2005-12-11
1021,하나님의 인권,주일예배,김상복 목사,창세기 1:24 ~ 28,2005-12-04
1022,흰 옷 입은 큰 무리,주일예배,김상복 목사,요한게시록 7:9 ~ 12,2005-11-27
1023,교회 창립일 기도제목,주일예배,김상복 목사,요한게시록 2:1 ~ 7,2005-11-20
1024,"영광의 하나님, 나타나시다",주일예배,김상복 목사,사도행전 7:1 ~ 8,2005-11-13
1025,감당할 수 없는 영성,주일예배,김상복 목사,사도행전 6:8 ~ 15,2005-11-06
1026,사랑이 이긴다,주일예배,김상복 목사,누가복음 15:11 ~ 32,2005-10-30
1027,찾을 때까지,주일예배,김상복 목사,누가복음 15:1 ~ 10,2005-10-23
1028,범사에 감사하자,주일예배,김상복 목사,시편 107:1 ~ 9,2005-10-16
1029,섬기는 자의 일곱가지 영성,주일예배,김상복 목사,사도행전 6:1 ~ 7,2005-10-09
1030,주님의 음성 듣는 방법,주일예배,Leland D.Paris 목사,요한복음 10:1 ~ 5,2005-10-02
1031,고난의 축배,주일예배,김상복 목사,누가복음 22:18 ~ 20,2005-09-25
1032,은덕을 감사하자,주일예배,김상복 목사,시편 127:1 ~ 5,2005-09-18
1033,존경받는 사람,주일예배,김상복 목사,사도행전 5:33 ~ 42,2005-09-11
1034,행복의 창조자가 되자,주일예배,김상복 목사,창세기 12:1 ~ 3,2005-09-04
1035,해방운동,주일예배,김상복 목사,요한복음 8:31 ~ 36,2005-08-28
1036,믿음의 표현,주일예배,신현규 목사,창세기 22:1 ~ 14,2005-08-21
1037,참된 기도,주일예배,이성택 목사,마태복음 7:7 ~ 8,2005-08-14
1038,예수님의 재림과 교회선교,주일예배,강승삼 목사,요한1서 2:28 ~ 3:3,2005-08-07
1039,성령의 능력,주일예배,김상복 목사,사도행전 5:9 ~ 16,2005-07-31
1040,성령은 보고 계신다,주일예배,김상복 목사,사도행전 5:1 ~ 11,2005-07-24
1041,나눔운동,주일예배,김상복 목사,사도행전 4:32 ~ 37,2005-07-17
1042,넓이와 깊이,주일예배,손인식 목사,요한복음 19:28 ~ 30,2005-07-10
1043,기도하면 힘이 난다,주일예배,김상복 목사,사도행전 4:23 ~ 31,2005-07-03
1044,두 형제의 화해,주일예배,김상복 목사,창세기 33:1 ~ 11,2005-06-26
1045,경건한 남자의 위대한 가치,주일예배,Gordon England,요한복음 21:15~17,2005-06-19
1046,하나님을 바라보라,주일예배,김상복 목사,이사야 31:1 ~ 9,2005-06-12
1047,돌보아 주라,주일예배,김상복 목사,요한복음 21:15~ 23,2005-06-05
1048,천하보다 귀한 영혼,주일예배,김상복 목사,마가복음 8:34 ~ 38,2005-05-29
1049,아름다운 부자관계(父子關係),주일예배,김상복 목사,요한복음 17:1 ~ 19,2005-05-22
1050,아름다운 내면 인품,주일예배,김상복 목사,베드로전서 3:1 ~ 7,2005-05-15
1051,가족의 역할,주일예배,김상복 목사,에베소서 5:15 ~ 6:4,2005-05-08
1052,목회에서 동역자,주일예배,탐코벨 목사,막 10:43 ~ 45,2005-05-01
1053,담대한 성령의 능력,주일예배,김상복 목사,행 4:1 ~ 22,2005-05-01
1054,만물의 회복자,주일예배,김상복 목사,행 3:11~26,2005-04-24
1055,주님의 장애인 사역,주일예배,김상복 목사,마 11:1 ~6,2005-04-17
1056,일어나 걸으라,주일예배,김상복 목사,행 3:1 ~ 10,2005-04-10
1057,성장하는 교회,주일예배,김상복 목사,행 2:40 ~ 47,2005-04-03
1058,순식간에 변화하리라,주일예배,김상복 목사,고전 15:51~58,2005-03-27
1059,겸손한 왕,주일예배,김상복 목사,눅 19:28 ~ 40,2005-03-20
1060,성령의 선물,주일예배,김상복 목사,행 2:37 ~ 42,2005-03-13
1061,우리가 증인입니다.,주일예배,김상복 목사,행 2:22 ~ 26,2005-03-06
1062,말세의 성령,주일예배,김상복 목사,행 2:14 ~ 21,2005-02-27
1063,오순절 사건,주일예배,김상복 목사,행 2:1 ~ 13,2005-02-20
1064,믿음의 선택,주일예배,신현규 목사,룻 1:15 ~ 19,2005-02-13
1065,기도에 힘쓰라,주일예배,김상복 목사,행 1:12 ~ 26,2005-02-06
1066,성령의 능력,주일예배,김상복 목사,행 1:6 ~ 11,2005-01-30
1067,성령의 행전,주일예배,김상복 목사,행 1:1 ~ 5,2005-01-23
1068,창의성을 추구하라,주일예배,김상복 목사,창 1:1 ~ 31,2005-01-16
1069,새해에는 나도 한명,주일예배,김상복 목사,눅 14:15 ~ 24,2005-01-09
1070,새 일을 하리라,주일예배,김상복 목사,사 43:14 ~ 21,2005-01-02
1071,기적을 구하라,주일예배,김상복 목사,사 7:10~14,2004-12-26
1072,임마누엘 예수,주일예배,김상복 목사,마태복음 1:18 ~ 25,2004-12-19
1073,너도 이처럼 하라,주일예배,김상복 목사,눅 10:25 ~37,2004-12-12
1074,받은 것을 드리나이다,주일예배,김상복 목사,대상 29:10~22,2004-12-05
1075,섬기는 자는 위대한 자,주일예배,김상복 목사,마 20:20 ~ 28,2004-11-28
1076,믿음으로 전진한다,주일예배,김상복 목사,히 11:1 ~ 10,2004-11-21
1077,나와 함께 하심이라,주일예배,김상복 목사,시편 23:1 ~ 6,2004-11-14
1078,분명히 알 수 있다,주일예배,김상복 목사,요일 5:11 ~13,2004-11-07
1079,친구가 되어주라,주일예배,김상복 목사,마가복음 2:1 ~ 12,2004-10-31
1080,천국과 지옥,주일예배,김상복 목사,누가복음 16:19 ~ 31,2004-10-24
1081,감사합니다.,주일예배,김상복 목사,시편 103:1 ~22,2004-10-17
1082,간절한 기대,주일예배,김상복 목사,빌립보서 1:19~26,2004-10-10
1083,그리스도의 현존,주일예배,강원용 목사,로마서 5:5~8,2004-10-03
1084,두가지 성전의 완공,주일예배,김상복 목사,학개 1:1~11,2004-09-26
1085,통합적 사고의 필요,주일예배,김상복 목사,에베소서 4:1~12,2004-09-19
1086,칭찬 받는 사람들,주일예배,김상복 목사,사도행전 2:40 ~ 47,2004-09-12
1087,능히 감당하리라,주일예배,김상복 목사,고린도전서 10: 1 ~ 13,2004-09-05
1088,더 많은 열매를 맺자,주일예배,김상복 목사,요한복음 15:1~11,2004-08-29
1089,승리자의 모습,주일예배,김상복 목사,고린도전서 9:19~27,2004-08-22
1090,예루살렘 평화축제,주일예배,김상복 목사,마태복음 5:1~12,2004-08-15
1091,참된 자유,주일예배,석철효 목사,에베소서 2:1~7,2004-08-08
1092,문제의 극복과 또 다른 비전,주일예배,신현규 목사,누가복음 5:1-11,2004-08-08
1093,세계선교의 마지막 대회,주일예배,김상복 목사,요한계시록 7:9~12,2004-08-01
1094,기쁨의 감사와 찬양,주일예배,김상복 목사,시편 100:1-5,2004-07-25
1095,낮아지면 높아진다,주일예배,김상복 목사,빌립보서 2:1~11,2004-07-18
1096,내 눈과 마음이 이 성전에,주일예배,김상복 목사,역대하 7:12~18,2004-07-11
1097,우리는 거룩한 성전,주일예배,김상복 목사,에베소서 2:19~22,2004-07-04
1098,6.25의 교훈,주일예배,김상복 목사,에베소서 2:14~22,2004-06-27
1099,복을 끼치는 자,주일예배,김상복 목사,창세기 12 : 1~4,2004-06-20
1100,하나님이 거하시는 처소,주일예배,하시모토 목사,열왕기상 8:22-30,2004-06-13
1101,사랑의 완성을 위하여,주일예배,김상복 목사,요일 4: 16-21,2004-06-06
1102,섬겨주라,주일예배,김상복 목사,마 20 : 25-28,2004-05-30
1103,사랑의 언어(II),주일예배,김상복 목사,요13: 34-35,2004-05-23
1104,사랑의 언어,주일예배,김상복 목사,아 1:9-2:1,2004-05-16
1105,기독교는 효의 신앙이다,주일예배,김상복 목사,엡 6:1-4,2004-05-09
1106,아이들의 천국,주일예배,김상복 목사,마18: 1-10,2004-05-02
1107,구원을 얻으리라,주일예배,김상복 목사,요 3:16-21,2004-04-25
1108,강자의 배려,주일예배,김상복 목사,삼하 9:1-13,2004-04-18
1109,듣는자는 살아나리라,주일예배,김상복 목사,요 5:19-29,2004-04-11
1110,우시는 왕,주일예배,김상복 목사,눅 19:28-44,2004-04-04
1111,발 빠른 사람들,주일예배,김상복 목사,롬 10:8-15,2004-03-28
1112,하나님 마음에 합한 사람,주일예배,임권택 총장,행 13:17-23,2004-03-21
1113,약한자를 돌보라,주일예배,김상복 목사,마25:31-46,2004-03-14
1114,섬기는 자의 태도,주일예배,김상복 목사,롬 12:1-13,2004-03-07
1115,섬기는 공동체,주일예배,김상복 목사,마 20:25-28,2004-02-29
1116,우리의 사귐,주일예배,김상복 목사,요일 1:1-10,2004-02-22
1117,배우고 확신하라,주일예배,김상복 목사,딤후3:14 - 17,2004-02-15
1118,전도의 사명,주일예배,김상복 목사,행1:1 - 8,2004-02-08
1119,예배자를 찾으신다,주일예배,김상복 목사,요 4:16-26,2004-02-01
1120,교회의 다섯가지 사명,주일예배,김상복 목사,행 2:37-47,2004-01-25
1121,오로지 그리스도를 전파,주일예배,김상복 목사,빌 1:12-21,2004-01-18
1122,브니엘의 아침,주일예배,김원배 목사,창 32: 22-31,2004-01-11
1123,앞을 향해 달려 가노라,주일예배,김상복 목사,빌 3:10-16,2004-01-04
1124,선악간에 심판하신다,주일예배,김상복 목사,전도서 12:1 - 14,2003-12-28
1125,구원자 예수의 탄생,주일예배,김상복 목사,마 1:18-25,2003-12-21
1126,세상의 빛,주일예배,김상복 목사,요 1:1-14,2003-12-14
1127,네 눈물을 보았노라,주일예배,김상복 목사,왕하 20:1-7,2003-12-07
1128,생명운동,주일예배,김상복 목사,요 10:1-10,2003-11-30
1129,현대적 신앙고백,주일예배,바이어 하우스 목사,마 16:13-18,2003-11-23
1130,새들이 깃드니라,주일예배,김상복 목사,마 13:31-32,2003-11-16
1131,예수 안에 생명 있네,주일예배,김상복 목사,요일 5:1-12,2003-11-09
1132,작은 일이 큰일이다,주일예배,김상복 목사,마 25: 14-30,2003-11-02
1133,나를 사랑 하신다,주일예배,김상복 목사,엡 5:22-28,2003-10-26
1134,"친구여, 도우라",주일예배,김상복 목사,막 2:1-12,2003-10-19
1135,평화를 누리라,주일예배,김상복 목사,요 20:19-28,2003-10-12
1136,여호와를 앙망하는 자,주일예배,김수생 목사,사 40 : 27-31,2003-10-05
1137,관계지향적 리더쉽,주일예배,김상복 목사,요 1: 35-51,2003-09-28
1138,독선적 신앙?,주일예배,김상복 목사,요14:1-11,2003-09-21
1139,기도할 때다,주일예배,김상복 목사,삼상 7:3-14,2003-09-14
1140,평화를 누리라,주일예배,김상복 목사,요 20:19-28,2003-10-12
1141,여호와를 앙망하는 자,주일예배,김수생 목사,사 40 : 27-31,2003-10-05
1142,관계지향적 리더쉽,주일예배,김상복 목사,요 1: 35-51,2003-09-28
1143,독선적 신앙?,주일예배,김상복 목사,요14:1-11,2003-09-21
1144,기도할 때다,주일예배,김상복 목사,삼상 7:3-14,2003-09-14
1145,어른을 공경하라,주일예배,김상복 목사,엡 6:1-3,2003-09-07
1146,다 이해할 수 없다,주일예배,김상복 목사,전 8:10-17,2003-08-31
1147,권위에 복종하라,주일예배,김상복 목사,전 8:1-8,2003-08-24
1148,자유의 가치,주일예배,김상복 목사,요8: 32-36,2003-08-17
1149,"자살, 안해도 된다!",주일예배,김상복 목사,고후 1:3-11,2003-08-10
1150,휴가의 영적 유익,주일예배,김상복 목사,시 139:1-18,2003-08-03
1151,그럼에도 불구하고,주일예배,김선도 목사,눅5:1-11,2003-07-27
1152,"십자가의 길, 순교자의 길",주일예배,주광조 장로,겔 37: 1-10,2003-07-20
1153,지혜로운 건축자,주일예배,홍순우 목사,고전 3:10-17,2003-07-13
1154,삼중의 감동체험,주일예배,김승욱 목사,왕상 3: 4-5,2003-07-06
1155,극단은 아니다,주일예배,김상복 목사,전 7 :15-29,2003-06-29
1156,하늘의 큰 기쁨,주일예배,김상복 목사,눅 15:1-7,2003-06-22
1157,허망의 극치,주일예배,김상복 목사,전 6:1-9,2003-06-15
1158,"수고의 열매, 즐기며 살라",주일예배,김상복 목사,전 5:18-20,2003-06-08
1159,슬픔이 웃음보다 낫다,주일예배,김상복 목사,전 7:1-14,2003-06-01
1160,하나됨을 힘써 지키라,주일예배,김상복 목사,엡 4:1-6,2003-05-25
1161,부지런히 가르치라,주일예배,김상복 목사,신 6:1-9,2003-05-18
1162,아버지의 소원,주일예배,김상복 목사,대상22: 6-13,2003-05-11
1163,오직 사랑,주일예배,김상복 목사,고전 13: 1,2003-05-04
1164,예수 부활에 관한 세계의 질문,주일예배,Luis Bush목사,눅 24:13-35,2003-04-27
1165,그가 살아나셨다,주일예배,김상복 목사,마 28:1-10,2003-04-20
1166,풀어 데려오라,주일예배,김상복 목사,눅 19:28-40,2003-04-13
1167,불시험을 두려워 말라,주일예배,김상복 목사,벧전 4:12-19,2003-04-06
1168,행한대로,주일예배,김상복 목사,계 22:6-15,2003-03-30
1169,종말은 오고 있다,주일예배,김상복 목사,마태복음 24:3-14,2003-03-23
1170,해가 돋는다,주일예배,김상복 목사,창세기 32:33-32,2003-03-16
1171,간구와 서원,주일예배,김상복 목사,창세기 28:10-22,2003-03-09
1172,복있는 나라,주일예배,김상복 목사,시편33:12-22,2003-03-02
1173,큰 자가 되라,주일예배,김상복 목사,마태복음 20:20-28,2003-02-23
1174,잘 믿는체 말라,주일예배,김의환 목사,마태복음 6:1-8,2003-02-16
1175,물어보라,주일예배,김상복 목사,창세기 15:1-11,2003-02-09
1176,약속을 성취하는 기도,주일예배,김상복 목사,에스겔 36:24-38,2003-02-02
1177,기도는 자녀의 특권,주일예배,김상복 목사,롬 8:28-32,2003-01-26
1178,하나님도 찾으신다,주일예배,김상복 목사,역대하 16:7-10,2003-01-20
1179,영혼의 기다림,주일예배,김상복 목사,시편 130:1-8,2003-01-12
1180,마음을 쏟아노라,주일예배,김상복 목사,욥 42:1-6,2003-01-05
1181,하나님을 찬양하자,주일예배,김상복 목사,시편 46:1-11,2002-12-29
1182,땅에는 평화,주일예배,김상복 목사,눅 2:1-20,2002-12-22
1183,왕이 나셨다,주일예배,김상복 목사,눅 2:8-14,2002-12-15
1184,통치자의 자격,주일예배,김상복 목사,신 17:14-20,2002-12-08
1185,유연한 신앙인,주일예배,김상복 목사,고전 9:19-27,2002-12-01
1186,열심히 섬기라,주일예배,김상복 목사,롬 12:3-12,2002-11-24
1187,여호와께 감사하라,주일예배,김상복 목사,시편 136:1-26,2002-11-17
1188,찾아오시는 하나님,주일예배,김상복 목사,창세기 3:1-19,2002-11-10
1189,영원한 연합,주일예배,김상복 목사,요 15:1 - 11,2002-11-03
1190,어리석은 부자,주일예배,김상복 목사,눅 12:!4-21,2002-10-27
1191,주의 일을 한다,주일예배,김상복 목사,요 14:12-18,2002-10-20
1192,마른 뼈들,주일예배,Lynn Buzzard 목사,에스겔 37:9-10,2002-10-13
1193,통일하신다,주일예배,김상복 목사,엡 4:1-6,2002-10-06
1194,하나는 데려간다,주일예배,김상복 목사,마 24:32-44,2002-09-29
1195,교제의 기쁨,주일예배,김상복 목사,요일 1:1-4,2002-09-22
1196,삶의 마지막 목표,주일예배,김상복 목사,살전 5:16-24,2002-09-15
1197,건강한 사람의 모습(4),주일예배,김상복 목사,살전 5:12-24,2002-09-08
1198,건강한 사람의 모습(3),주일예배,김상복 목사,살전 5:16-24,2002-09-01
1199,건강한 사람의 모습(2),주일예배,김상복 목사,살전 5:16-24,2002-08-25
1200,건강한 사람의 모습,주일예배,김상복 목사,살전 5:16~24,2002-08-18
1201,그가 이루시리라,주일예배,김상복 목사,살전 5:16~24,2002-08-11
1202,건강한 몸,주일예배,김상복 목사,살전 5:16-24,2002-08-04
1203,건강한 혼,주일예배,김상복 목사,살전 5:12-24,2002-07-28
1204,"건강한 영, 혼, 몸",주일예배,김상복 목사,살전 5:12-24,2002-07-21
1205,건강한 사람의 모습,주일예배,김상복 목사,살전 5:16~24,2002-08-18
1206,그가 이루시리라,주일예배,김상복 목사,살전 5:16~24,2002-08-11
1207,건강한 몸,주일예배,김상복 목사,살전 5:16-24,2002-08-04
1208,건강한 혼,주일예배,김상복 목사,살전 5:12-24,2002-07-28
1209,"건강한 영, 혼, 몸",주일예배,김상복 목사,살전 5:12-24,2002-07-21
1210,최고의 목표,주일예배,김상복 목사,고전 10:23-33,2002-07-14
1211,물과 성령으로 거듭나자!,주일예배,이만신 목사,요 3:1-8,2002-07-07
1212,새 일을 하리라,주일예배,김상복 목사,하 43:18-21,2002-06-30
1213,좋은 것을 주시리라,주일예배,김상복 목사,시편 85:1-13,2002-06-23
1214,좌절은 없다,주일예배,김상복 목사,고후 4:7-10,2002-06-16
1215,섬길 자를 세우라,주일예배,김상복 목사,마 20:20-28,2002-06-09
1216,월드컵 신앙,주일예배,김상복 목사,디모데 후서 2:1-7,2002-06-02
1217,부부는 한몸,주일예배,김상복 목사,마 19:3-12,2002-05-26
1218,가족을 돌보라,주일예배,김상복 목사,딤전 5:1-8,2002-05-19
1219,넉넉한 은혜,주일예배,김상복 목사,고후 9:6-8,2002-05-12
1220,이제는 드리라,주일예배,이준석 목사,창세기 22:1-12,2002-05-05
1221,즐거운 헌신,주일예배,김상복 목사,역대상 29:10-19,2002-04-28
1222,봉사하며 살자,주일예배,김상복 목사,마태복음 20:25-28,2002-04-21
1223,그가 이루시리라.,주일예배,김상복 목사,빌립보서 1 : 1 - 6,2002-04-14
1224,내주하시는 성령의 사역,주일예배,김상복 목사,로마서 8 : 1 - 17,2002-04-07
1225,부활의 승리,주일예배,김상복 목사,고전 15:50 - 58,2002-03-31
1226,호산나,주일예배,김상복 목사,요 12:12-19,2002-03-24
1227,성장한 모습,주일예배,김상복 목사,로마서 8:26-39,2002-03-17
1228,참된 자유를 누리라,주일예배,김상복 목사,요한복음 8:31-36,2002-03-10
1229,진리를 사랑하라,주일예배,김상복 목사,요한복음 17:14-19,2002-03-03
1230,죄에서 자유를,주일예배,김상복 목사,로마서 1:14-32,2002-02-24
1231,성장하자!,주일예배,김상복 목사,요한복음 8:31-36,2002-02-17
1232,왜 거듭나야 하는가?,주일예배,김상복 목사,엡2:1-10,2002-02-10
1233,거듭난 사람의 변화,주일예배,김상복 목사,고린도후서 5:14-17,2002-02-03
1234,태어난 증거,주일예배,김상복 목사,요한일서 5:1-12,2002-01-27
1235,위로부터 받은 생명,주일예배,김상복 목사,요3:1-17,2002-01-20
1236,분명히 발전한다,주일예배,김상복 목사,딤전 4:11-16,2002-01-13
1237,새해의 기도,주일예배,김상복 목사,빌립보서4:4-7,2002-01-06
1238,위로부터 받은 생명,주일예배,김상복 목사,요3:1-17,2002-01-20
1239,분명히 발전한다,주일예배,김상복 목사,딤전 4:11-16,2002-01-13
1240,새해의 기도,주일예배,김상복 목사,빌립보서4:4-7,2002-01-06
1241,위로부터 받은 생명,주일예배,김상복 목사,요3:1-17,2002-01-20
1242,분명히 발전한다,주일예배,김상복 목사,딤전 4:11-16,2002-01-13
1243,새해의 기도,주일예배,김상복 목사,빌립보서4:4-7,2002-01-06
