,제목,예배,설교자,본문,날짜
312,목숨을 다하여 하나님을 사랑합시다-어떻게?(How),주일2부 예배,김승욱 목사,시편 19:7-14,2018-02-04
313,의의 무기로 하나님께 드려라,주일1부 이른예배,백명렬 목사,로마서 6:12-15,2018-01-28
314,목숨을 다하여 하나님을 사랑합시다-왜?(Why),주일3부 예배,김승욱 목사,요한복음 15:4-8,2018-01-28
315,목숨을 다하여 하나님을 사랑합시다-왜?(Why),주일4부 뉴웨이브예배(실황),김승욱 목사,요한복음 15:4-8,2018-01-28
316,씨 뿌리는 비유,주일1부 이른예배,김민수 목사,마태복음 13:1-9,2018-01-21
317,마음을 다하여 하나님을 사랑합시다 - 어떻게?(How),주일4부 뉴웨이브예배(실황),김승욱 목사,빌립보서 3:7-14,2018-01-21
318,마음을 다하여 하나님을 사랑합시다 - 어떻게?(How),주일예배,김승욱 목사,빌립보서 3:7-14,2018-01-21
319,안식,주일1부 이른예배,이병수 목사,시편 118:24,2018-01-14
320,마음을 다하여 하나님을 사랑합시다 - 왜?(Why),주일4부 뉴웨이브예배(실황),김승욱 목사,신명기 6:6-15,2018-01-14
321,마음을 다하여 하나님을 사랑합시다 - 왜?(Why),주일3부 예배,김승욱 목사,신명기 6:6-15,2018-01-14
322,"간절한 믿음, 넘치는 사랑",주일1부 이른예배,서계원 목사,마가복음 2:1-12,2018-01-07
323,가장 크고 첫째 되는 계명,주일3부 예배,김승욱 목사,마가복음 12:28-31,2018-01-07
324,오직 성령으로,주일예배,김승욱 목사,스가랴 4:6 - 9,2017-12-31
325,하나님과의 사귐,주일예배,김승욱 목사,요한일서 1:1-4,2017-12-24
326,(골로새서 12) 깨어 경계하십시오,주일예배,김승욱 목사,골로새서 2:16-23,2017-12-17
327,(골로새서 11) 짐을 벗어버립시다,주일예배,김승욱 목사,골로새서 2:13-15,2017-12-10
328,(골로새서10) 사로잡히지 마십시오,주일예배,김승욱 목사,골로새서 2:8-12,2017-12-03
329,(골로새서 9) 예수님으로 충만한 삶,주일예배,김승욱 목사,골로새서 2:1-7,2017-11-26
330,(골로새서 8) 교회의 영광을 위하여,주일예배,김승욱 목사,골로새서 1:24-29,2017-11-19
331,부르심의 한 소망,주일예배,김승욱 목사,"에베소서 4:4-6, 16",2017-11-12
332,(골로새서 7) 하나님과 화목하였으니,주일예배,김승욱 목사,골로새서 1:21-23,2017-11-05
333,"하나 되어, 거룩하여, 섬기게 하소서(일치, 갱신, 섬김)",주일예배,손인웅 목사 / 덕수교회 원로목사,"요한복음 17:11-26, 야고보서 1:17-23",2017-10-29
334,"(골로새서 6) 구원의 주, 예수 그리스도",주일예배,김승욱 목사,골로새서 1:18-20,2017-10-22
335,(골로새서 5) 만유의 주가 되시는 예수 그리스도,주일예배,김승욱 목사,골로새서 1:15-17,2017-10-15
336,하나님의 새 일을 기대하며,주일예배,김승욱 목사,이사야 43:14-21,2017-10-08
337,(골로새서 4) 능력의 삶,주일예배,김승욱 목사,골로새서 1:11-14,2017-10-01
338,(골로새서 3) 하나님의 뜻을 깨달아,주일예배,김승욱 목사,골로새서 1:9-10,2017-09-24
339,(골로새서 2) 은혜로다,주일예배,김승욱 목사,골로새서 1:6-8,2017-09-17
340,(골로새서 1) 복음으로 소망으로,주일예배,김승욱 목사,골로새서 1:1-5,2017-09-10
341,"종교인가, 복음인가?",주일예배,김승욱 목사,로마서 7:22-8:2,2017-09-03
342,영혼의 빛,주일예배,신현규 목사,사도행전 9:1-7,2017-08-27
343,하나님이 아버지여서 너무 좋습니다,주일예배,유장옥 목사,이사야 63:8-10,2017-08-20
344,"쉼의 행복, 일의 기쁨",주일예배,현유광 목사 / 고려신학대학원 명예교수,창세기 1:26-2:3,2017-08-13
345,진리와 자유,주일예배,김상복 목사,요한복음 8:31-36,2017-08-06
346,밭에서 보화를 보는 시선,주일예배,김민수 목사,마태복음 13:44,2017-07-30
347,나를 구원하시는 하나님 나를 인도하사,주일예배,김성국 목사 / 미국 퀸즈장로교회 담임목사,미가 7:7-9,2017-07-23
348,"내 영혼아, 네가 어찌하여 낙심하는가?",주일예배,윤현준 목사,시편 42:1-11,2017-07-16
349,충성된 사람이 잘 된다,주일예배,김상복 목사,마태복음 25:14-29,2017-07-09
350,감사의 비결,주일예배,서계원 목사,골로새서 3:15-17,2017-07-02
351,하나님 나라를 세워가는 성품,주일예배,고대영 목사,베드로후서 1:3-7,2017-06-25
352,하나님 사랑이 답이다,주일예배,김상복 목사,신명기 10:12-15,2017-06-18
353,사람의 미혹,주일예배,탁지일 목사 / 현대종교 이사장,마태복음 24:3-5,2017-06-11
354,성령,주일예배,이병수 목사,고린도후서 3:17,2017-06-04
355,행복을 말하다,주일예배,김상인 목사,시편 1:1-6,2017-05-28
356,즐거움을 주는 말씀,주일예배,박희천 목사 / 내수동 장로교회 원로목사,시편 119:24,2017-05-21
357,관계가 좋아야 인생이 풍요롭다,주일예배,김병건 목사,요한복음 15:1-10,2017-05-14
358,큰 기쁨 큰 고통,주일예배,김상복 목사,에배소서 6:1-4,2017-05-07
359,행복한 가정,주일예배,백명렬 목사,사도행전 10:1-8,2017-04-30
360,열매맺는 신앙인의 삶,주일예배,한용기 목사,야고보서 5:7-8,2017-04-23
361,영광스러운 부활의 몸,주일예배,김상복 목사,로마서 8:29-30,2017-04-16
362,오직 믿음으로,주일예배,"김용의 선교사 / 순회선교단 선교사, LOG미션 대표",로마서 1:16-17,2017-04-09
363,"십자가, 오늘을 사는 힘",주일예배,김정진 목사,갈라디아서 2:20,2017-04-02
364,사명의 자리로 나아가기 위해,주일예배,안만기 목사,여호수아 1:1-9,2017-03-26
365,내일도 해는 동편에 뜬다,주일예배,김상복 목사,예레미야애가 3:19-26,2017-03-19
366,"구원의 이름, 예수",주일예배,서계원 목사,"사도행전 3:1-10, 4:12",2017-03-12
367,주님의 임재 속에서,주일예배,케네스 배 선교사/서빙라이프(북한인권 국제NGO) 대표,베드로전서 5:7,2017-03-05
368,절대 선하신 우리 하나님,주일예배,김승욱 목사,시편 136:1,2017-02-26
369,힘써 여호와를 알자,주일예배,김승욱 목사,호세아 6:1-3,2017-02-19
370,염려하지 마십시오,주일예배,김승욱 목사,마태복음 6:25-34,2017-02-12
371,이제 우리가 추구해야 하는 온전한 삶,주일예배,김승욱 목사,히브리서 10:14-18,2017-02-05
