,제목,예배,설교자,본문,날짜,교회
200,믿음의 기초,주일예배,오정현 목사,요한복음 2:1~11,2020-10-04,사랑의교회
201,죄악 청산,주일예배,오정현 목사,스가랴 5:1~11,2020-09-13,사랑의교회
202,새날을 여는 사랑의 능력,주일예배,오정현 목사,"요한복음 20:1, 11~16",2020-04-19,사랑의교회
203,부활의 영이 내게 임하면,주일예배,오정현 목사,요한복음 11:23~27,2020-04-12,사랑의교회
204,알곡 신앙의 역사의식,주일예배,오정현 목사,"마태복음 13:24~30, 36~43",2020-01-19,사랑의교회
205,지금 내 마음 밭은 어떠한가?,주일예배,오정현 목사,"마태복음 13:1~9, 18~23",2020-01-12,사랑의교회
206,"하나님의 뜻, 어떻게 분별하나?",주일예배,오정현 목사,로마서 12:1~2,2019-11-24,사랑의교회
207,‘젖 뗀 아이의 평온’을 주신 주님께 감사,주일예배,오정현 목사,시편 131:1~3,2019-11-17,사랑의교회
208,오직 성경으로,주일예배,오정현 목사,디모데후서 3:15~17,2019-11-03,사랑의교회
209,구할 때 주시는 성령 충만,주일예배,오정현 목사,누가복음 11:11~13,2019-10-20,사랑의교회
210,기도의 정석Ⅰ,주일예배,오정현 목사,누가복음 11:1~4,2019-09-22,사랑의교회
211,섭리의 신비,주일예배,오정현 목사,"룻기 1:20~22, 4:13~17",2019-08-11,사랑의교회
212,삶의 허무를 어떻게 극복할까?,주일예배,오정현 목사,로마서 11:33~36,2019-02-17,사랑의교회
213,여호와 이레의 일평생,주일예배,오정현 목사,창세기 22:14~19,2019-01-13,사랑의교회
214,여호와의 산에서 준비되리라,주일예배,오정현 목사,창세기 22:11~14,2019-01-06,사랑의교회
215,구세주의 탄생이 확실하도다,주일예배,오정현 목사,누가복음 2:10~11,2018-12-23,사랑의교회
216,힘을 빼면 도우신다,주일예배,오정현 목사,여호수아 6:1~11,2018-11-25,사랑의교회
217,넘치는 감사보고(報告),주일예배,오정현 목사,골로새서 2:6~7,2018-11-18,사랑의교회
218,녹슬지 않는 기쁨,주일예배,오정현 목사,누가복음 15:1~7,2018-11-11,사랑의교회
219,중년의 위기 극복,주일예배,오정현 목사,"시편 102:1~7, 여호수아 14:10~11",2018-04-22,사랑의교회
220,"제3 환상 : 성곽 대신, 불 성곽으로",주일예배,오정현 목사,스가랴 2:1~5,2020-07-12,사랑의교회
221,소망의 포로들,주일예배,오정현 목사,"스가랴 1:3, 4:10a, 9:12",2020-06-21,사랑의교회
222,낙심하지 않는 질그릇,주일예배,오정현 목사,고린도후서 4:7~12,2020-06-07,사랑의교회
223,부활의 영이 내게 임하면,주일예배,오정현 목사,요한복음 11:23~27,2020-04-12,사랑의교회
224,고난과 영광,주일예배,오정현 목사,"베드로전서 4:12~14, 19",2020-03-22,사랑의교회
225,가시도 능력이 될 수 있다,주일예배,오정현 목사,고린도후서 12:7~10,2020-02-23,사랑의교회
226,내 영혼 주 찬양하며,주일예배,오정현 목사,누가복음 1:46~50,2020-01-26,사랑의교회
227,지금 내 마음 밭은 어떠한가?,주일예배,오정현 목사,"마태복음 13:1~9, 18~23",2020-01-12,사랑의교회
228,"그러면, 우리는 어떻게 살아야 하나?",주일예배,오정현 목사,시편 90:1~17,2019-12-29,사랑의교회
229,성육신의 신비,주일예배,오정현 목사,요한복음 1:14~18,2019-12-22,사랑의교회
230,천국 소망이 나를 어떻게 살리는가?,주일예배,오정현 목사,고린도후서 4:16~5:1,2019-12-15,사랑의교회
231,로마도 보아야 하리라,주일예배,오정현 목사,"사도행전 1:8, 19:20~21",2019-12-08,사랑의교회
232,모든 세대가 함께 꾸는 꿈,주일예배,오정현 목사,사도행전 2:17,2019-12-01,사랑의교회
233,"하나님의 뜻, 어떻게 분별하나?",주일예배,오정현 목사,로마서 12:1~2,2019-11-24,사랑의교회
234,어떻게 나라를 사랑할까?,주일예배,오정현 목사,"역대하 6:12~17, 7:14~16",2019-06-09,사랑의교회
235,헌당의 기쁨,주일예배,오정현 목사,느헤미야 12:27~47,2019-06-02,사랑의교회
236,성령의 사람만 이해할 수 있습니다,주일예배,오정현 목사,고린도전서 2:10~16,2019-01-20,사랑의교회
237,담을 뛰어넘나이다,주일예배,오정현 목사,여호수아 14:10~15,2018-12-30,사랑의교회
238,구세주의 탄생이 확실하도다,주일예배,오정현 목사,누가복음 2:10~11,2018-12-23,사랑의교회
239,어린 양 메시아가 통치하신다,주일예배,오정현 목사,누가복음 2:1~7,2018-12-16,사랑의교회
