,제목,예배,설교자,본문,날짜,교회
157,말씀 순종,주일예배,이철신 위임목사,요한1서 2:1~11,2017-9-17,영락교회
158,정결한 사귐,주일예배,이철신 위임목사,요한1서 1:5~10,2017-9-10,영락교회
159,생명의 사귐,주일예배,이철신 위임목사,요한1서 1:1~4,2017-9-3,영락교회
160,넓은 마음으로 주님과 동행,주일예배,이철신 위임목사,사도행전 15:6~11,2017-8-27,영락교회
161,세상이 막을 수 없는 주님과 동행,주일예배,이철신 위임목사,사도행전 5:33~42,2017-8-20,영락교회
162,민족구원,주일예배,이철신 위임목사,출애굽기 3:1~12,2017-8-13,영락교회
163,사람을 새롭게하는 사역,주일예배,이철신 위임목사,사도행전 3:16~21,2017-8-6,영락교회
164,담대한 증인,주일예배,이철신 위임목사,사도행전 2:37~42,2017-7-30,영락교회
165,다시 주님과 동행,주일예배,이철신 위임목사,요한복음 21:15~22,2017-7-23,영락교회
166,주님 따르기,주일예배,이철신 위임목사,마태복음 16:21~28,2017-7-16,영락교회
167,주님과 동행하면 평안,주일예배,이철신 위임목사,마태복음 14:22~33,2017-7-9,영락교회
168,주님과 동행 시작,주일예배,이철신 위임목사,누가복음 5:1~11,2017-7-2,영락교회
169,주님과 동행 시작,주일예배,김태균 목사,누가복음 5:1~11,2017-7-2,영락교회
