,제목,예배,설교자,본문,날짜,교회
272,"깨어진 신뢰, 회복이 가능한가? - 다윗과 압살롬 -",주일예배,김지철 목사,삼하 13:20~22,2016-01-17,소망교회
273,참된 믿음인가? 거짓 믿음인가?,주일예배,김지철 목사,호 10:12~13,2016-01-10,소망교회
274,나의 신앙 이야기 만들기,주일예배,김지철 목사,시 23:1~6,2016-01-03,소망교회
275,2016년 신년예배 - 인간을 향한 하나님의 신뢰,주일예배,김지철 목사,마 25:14~19,2016-01-01,소망교회
276,하나님의 기다림 : 다시한번!,주일예배,김지철 목사,눅 13:6~9,2015-12-27,소망교회
277,2015년 성탄예배 - 우리 인간과 똑같이 되신 하나님,주일예배,김지철 목사,요 1:12~14,2015-12-25,소망교회
278,호기심에서 경배로! : 동방박사들 - 기다림의 사람들 4 -,주일예배,김지철 목사,마 2:1~12,2015-12-20,소망교회
279,하나님 앞에서 잠잠히! : 모세 - 기다림의 사람들 3 -,주일예배,김지철 목사,출 14:10~14,2015-12-13,소망교회
280,사망의 음침한 구덩이 경험 : 요셉 - 기다림의 사람들 2 -,주일예배,김지철 목사,창 37:18~24,2015-12-06,소망교회
281,기다림의 사람들,주일예배,김지철 목사,애 3:19~26,2015-11-29,소망교회
282,누가 하나님의 가족인가?,주일예배,김지철 목사,막 3:31~35,2015-11-22,소망교회
283,감사와 불평 사이에서,주일예배,김지철 목사,시 50:22~23,2015-11-15,소망교회
284,하나님이 일하시니 나도 일한다,주일예배,김지철 목사,요 5:16~18,2015-11-08,소망교회
285,섬김 : 예수님의 마음으로,주일예배,김지철 목사,마 20:25~28,2015-11-01,소망교회
286,“회개하고 복음을 믿으라”,주일예배,김지철 목사,막 1:14~15,2015-10-25,소망교회
287,“오직 성령이 임하시면”,주일예배,김지철 목사,행 1:8,2015-10-18,소망교회
288,예수님이 보여주신 교육,주일예배,김지철 목사,요 7:15~17,2015-10-11,소망교회
289,하나님은 예배하는 자를 찾으신다,주일예배,김지철 목사,요 4:23~24,2015-10-04,소망교회
290,그리스도와 아담 - 로마서 강해 16 -,주일예배,김지철 목사,롬 5:16~19,2015-09-27,소망교회
291,“환난 중에도 즐거워하나니” - 로마서 강해 15 -,주일예배,김지철 목사,롬 5:3~6,2015-09-20,소망교회
292,“바랄 수 없는 중에 바라고 믿었으니” - 로마서 강해 14 -,주일예배,김지철 목사,롬 4:17~22,2015-09-13,소망교회
293,자랑할 이유를 지닌 사람들 - 로마서 강해 13 -,주일예배,김지철 목사,롬 3:27~31,2015-09-06,소망교회
294,"예수, 피의 화목제물 - 로마서 강해 12 -",주일예배,김지철 목사,롬 3:25~26,2015-08-30,소망교회
295,모든 믿는 자에게 미치는 하나님의 의 - 로마서 강해 11 -,주일예배,김지철 목사,롬 3:19~24,2015-08-23,소망교회
296,“하나님을 두려워함이 없느니라” - 로마서 강해 10 -,주일예배,김지철 목사,롬 3:9~18,2015-08-16,소망교회
297,의를 위하여 고난 당하는 사람,주일예배,김지철 목사,마 5:10~12,2015-08-09,소망교회
298,“오직 하나님은 참되시다” - 로마서 강해 9 -,주일예배,김지철 목사,롬 3:1~8,2015-08-02,소망교회
299,무엇이 ‘나’를 규정하는가? - 로마서 강해 8 -,주일예배,김지철 목사,롬 2:25~29,2015-07-26,소망교회
300,“하나님의 이름이 너희 때문에 모독을 받는도다” - 로마서 강해 7 -,주일예배,김지철 목사,롬 2:17~24,2015-07-19,소망교회
301,“외모로 사람을 취하지 아니하심이라”,주일예배,김지철 목사,롬 2:1~11,2015-07-12,소망교회
302,“더러움에 내버려 두사”,주일예배,김지철 목사,롬 1:24~32,2015-07-05,소망교회
303,“핑계하지 못할지니라”,주일예배,김지철 목사,롬 1:18~23,2015-06-28,소망교회
304,통일을 향한 거룩한 마음,주일예배,김지철 목사,눅 15:25~32,2015-06-21,소망교회
305,“의인은 믿음으로 살리라!”,주일예배,김지철 목사,롬 1:16~17,2015-06-14,소망교회
306,빚진 자로서의 간절한 바램,주일예배,김지철 목사,롬 1:8~15,2015-06-07,소망교회
307,복음으로 부름받은 사람,주일예배,김지철 목사,롬 1:1~7,2015-05-31,소망교회
308,“성령을 받으라!”,주일예배,김지철 목사,요 20:21~22,2015-05-24,소망교회
309,주님 안에서 아내 사랑하기,주일예배,김지철 목사,엡 5:25~33,2015-05-17,소망교회
310,“네 부모를 즐겁게 하라!”,주일예배,김지철 목사,잠 23:24~26,2015-05-10,소망교회
311,“하나님의 은혜가 아기 위에 있더라”,주일예배,김지철 목사,눅 2:40,2015-05-03,소망교회
312,부활의 증인들,주일예배,김지철 목사,마 28:16~20,2015-04-26,소망교회
313,“주님께서 아시나이다”,주일예배,김지철 목사,요 21:17,2015-04-19,소망교회
314,예수님과 함께 하는 부활의 식탁,주일예배,김지철 목사,눅 24:28~35,2015-04-12,소망교회
315,어찌하여 울며 누구를 찾느냐?,주일예배,김지철 목사,요 20:11~18,2015-04-05,소망교회
316,"십자가의 도, 하나님의 지혜",주일예배,김지철 목사,고전 1:18~25,2015-03-29,소망교회
317,청년의 때에 너의 창조주를 기억하라 - 전도서의 질문 5 -,주일예배,김지철 목사,"전 12:1~2, 13~14",2015-03-22,소망교회
318,초상집과 잔칫집 - 전도서의 질문 4 -,주일예배,김지철 목사,전 7:1~4,2015-03-15,소망교회
319,나는 좋은 친구인가? - 전도서의 질문 3 -,주일예배,김지철 목사,전 4:7~12,2015-03-08,소망교회
320,나는 때를 아는 사람인가? - 전도서의 질문 2 -,주일예배,김지철 목사,전 3:1~8,2015-03-01,소망교회
321,인생이 헛되다는 것은? - 전도서의 질문 1 -,주일예배,김지철 목사,전 1:2~11,2015-02-22,소망교회
322,고난 중에도 기뻐하는 사람들,주일예배,김지철 목사,롬 5:1~4,2015-02-15,소망교회
323,함께 예배하는 기쁨,주일예배,김지철 목사,"시 43:4~5, 롬 12:1~2",2015-02-08,소망교회
324,말씀을 묵상하는 기쁨,주일예배,김지철 목사,시 119:9~16,2015-02-01,소망교회
325,사랑하는 기쁨,주일예배,김지철 목사,전 9:9,2015-01-25,소망교회
326,일하는 기쁨,주일예배,김지철 목사,시 126:5~6,2015-01-18,소망교회
327,보화를 찾은 기쁨,주일예배,김지철 목사,마 13:44~46,2015-01-11,소망교회
328,하늘에 기록된 것으로 기뻐하라!,주일예배,김지철 목사,눅 10:17~20,2015-01-04,소망교회
329,"2015년 신년예배 - 예수의 기쁨, 우리의 기쁨",주일예배,김지철 목사,요 15:11,2015-01-01,소망교회
330,거룩한 불만족,주일예배,김지철 목사,빌 3:12~16,2014-12-28,소망교회
331,2014년 성탄예배 - 구유에 오신 하나님,주일예배,김지철 목사,눅 2:1~7,2014-12-25,소망교회
